Model,Accuracy,Norm_acc,Overall_corr,ECE_conf,ECE_conf-logits,ECE_logits,Dist_conf-logits,Overall_logits_mean,Overall_logits_std,Overall_confidence_mean,Overall_confidence_std,Match_corr,Match_logits_mean,Match_logits_std,Match_confidence_mean,Match_confidence_std,Mismatch_corr,Mismatch_logits_mean,Mismatch_logits_std,Mismatch_confidence_mean,Mismatch_confidence_std,Task,Num_choices,Model_name,Prompt,Model_family,Model_version,Model_type,Model_size
Mistral-7B-Instruct-v0.3_instruct_2,0.5714285714285714,0.4285714285714285,0.4435366477277142,0.1785714285714285,0.1372013064495352,0.3758211293066958,0.5704424305898878,0.9472497007352672,0.0773108993191809,5.785714285714286,4.80670319495552,-0.1388047455992191,0.970361650487122,0.0600904788476017,7.25,4.527692569068709,0.7971446655340386,0.9164337677327942,0.0921450913804451,3.8333333333333335,4.833908011812664,conceptual_combinations,4,Mistral-7B-Instruct-v0.3,instruct_2,mistral,0.3,instruct,7
Mistral-Nemo-Instruct-2407_instruct_2,0.4210526315789473,0.2280701754385964,-0.0058430730314656,0.4,0.1192906406594152,0.3029685639771995,0.2557290914679887,0.7017619909195322,0.2076442018751074,8.210526315789474,1.0316624861746777,-0.3883914041323638,0.8493246704047721,0.2201625910302993,8.5,0.9258200997725514,-0.0459015396225116,0.5944436785666305,0.1165768930938498,8.0,1.095445115010332,conceptual_combinations,4,Mistral-Nemo-Instruct-2407,instruct_2,mistral,nemo,instruct,12
Mixtral-8x7B-Instruct-v0.1_instruct_2,0.7647058823529411,0.6862745098039215,0.3408280069353499,0.2470588235294117,0.2077470881077614,0.2178959497114736,0.6320899130970099,0.982601832064415,0.0565914172784305,4.941176470588236,4.2934628831995,0.2251937016998014,0.9947461914426404,0.018899113447621,5.230769230769231,4.323460152737352,0.5685352428239986,0.9431326640851816,0.1137346712879605,4.0,4.69041575982343,conceptual_combinations,4,Mixtral-8x7B-Instruct-v0.1,instruct_2,mistral,0.1,instruct,13
Llama-2-7b-chat-hf_instruct_2,0.5294117647058824,0.3725490196078431,0.3703009081404432,0.3411764705882353,0.1214242668561965,0.3427831386229127,0.2667364961223755,0.872194903328795,0.1371275676634189,7.176470588235294,2.3514701283890216,0.6549784236520687,0.90818988594898,0.1473571279190028,6.444444444444445,3.126943839882286,,0.8317005478810868,0.1209317636844491,8.0,0.0,conceptual_combinations,4,Llama-2-7b-chat-hf,instruct_2,llama,2,instruct,7
Llama-2-13b-chat-hf_instruct_2,,,,,,,,,,,,,,,,,,,,,,conceptual_combinations,4,Llama-2-13b-chat-hf,instruct_2,llama,2,instruct,13
Meta-Llama-3.1-8B-Instruct_instruct_2,0.5789473684210527,0.4385964912280702,0.5710440681286753,0.2842105263157894,0.0616608544096783,0.28826305699235,0.2957919108309086,0.8539659564106306,0.2229973813528934,7.473684210526316,3.437835576389946,0.1635328959494092,0.9335884119713558,0.1508804280015026,7.727272727272727,2.686667418602797,0.8013310810059067,0.7444850800146335,0.2677489106257933,7.125,4.454131308603925,conceptual_combinations,4,Meta-Llama-3.1-8B-Instruct,instruct_2,llama,3.1,instruct,8
Llama-3.2-3B-Instruct_instruct_2,0.3157894736842105,0.087719298245614,0.2278622145938581,0.2789473684210526,0.1020046881187324,0.3884260639578447,0.4287102067926756,0.6846163315979943,0.2281406790585134,5.947368421052632,4.209429681751916,-0.0181306267694862,0.689177943640694,0.272527034740097,8.666666666666666,0.816496580927726,0.3233715104386029,0.6825109721936713,0.2170502349300803,4.6923076923076925,4.571371336638044,conceptual_combinations,4,Llama-3.2-3B-Instruct,instruct_2,llama,3.2,instruct,3
Meta-Llama-3-8B-Instruct_instruct_2,0.5,0.3333333333333333,0.4497455061315494,0.2666666666666667,0.080104154327992,0.3852039649306981,0.3738939077253077,0.855398558747955,0.1964165991492204,7.111111111111111,3.9688328242605664,0.3840961387185461,0.9274222953085042,0.1457803385282465,8.0,3.082207001484488,0.4105438648081866,0.783374822187406,0.2214899475836917,6.222222222222222,4.711098008367523,conceptual_combinations,4,Meta-Llama-3-8B-Instruct,instruct_2,llama,3,instruct,8
Qwen2.5-3B_base_45,0.2873563218390804,0.0498084291187739,0.4658191643505186,0.4505747126436782,0.2502374513395901,0.2129270927659396,0.283287437378098,0.4876935831431684,0.1494796290501941,7.379310344827586,0.5112997416603816,0.647086756716697,0.520200629234314,0.1730747223784897,7.36,0.4898979485566356,0.4003869754493901,0.4745859032677066,0.1382330586344419,7.387096774193548,0.5233824013302418,ruin_names,4,Qwen2.5-3B,base_45,qwen,2.5,base,3
Qwen2.5-3B_base_new_56,0.348314606741573,0.1310861423220974,-0.0882288612289019,0.3494382022471909,0.2472985678844237,0.1602689416221018,0.2783117703700463,0.4517228355568446,0.1272539216414221,6.977528089887641,0.2119995760012719,,0.4754568424917036,0.1320956264697417,7.0,0.0,-0.1266356068054162,0.4390374180571786,0.1238816603836797,6.965517241379311,0.2626128657194451,ruin_names,4,Qwen2.5-3B,base_new_56,qwen,2.5,base,3
